Period,Metric,CAGR,Vol,Sharpe,MaxDD
20220401_to_20220701,RBF-DivMom (excess),-0.6874,0.4444,-2.3719,-0.272
20220401_to_20220701,RBF-Graph (excess),-0.5452,0.4572,-1.4911,-0.214
20220401_to_20220701,S&P 500 (excess),-0.4556,0.2713,-2.1045,-0.1933
20220701_to_20221001,RBF-DivMom (excess),-0.1927,0.2613,-0.6985,-0.1029
20220701_to_20221001,RBF-Graph (excess),-0.1462,0.3843,-0.2321,-0.1726
20220701_to_20221001,S&P 500 (excess),-0.3162,0.2563,-1.3608,-0.1656
20221001_to_20230101,RBF-DivMom (excess),0.2994,0.244,1.1869,-0.0709
20221001_to_20230101,RBF-Graph (excess),0.132,0.2746,0.5775,-0.1116
20221001_to_20230101,S&P 500 (excess),0.2118,0.2212,0.9704,-0.06
20230101_to_20230401,RBF-DivMom (excess),0.3743,0.2502,1.3912,-0.0851
20230101_to_20230401,RBF-Graph (excess),0.1206,0.3854,0.4674,-0.0978
20230101_to_20230401,S&P 500 (excess),0.2556,0.1656,1.4549,-0.0706
20230401_to_20230701,RBF-DivMom (excess),1.7673,0.1666,6.2417,-0.0073
20230401_to_20230701,RBF-Graph (excess),5.6775,0.4651,4.3599,-0.0426
20230401_to_20230701,S&P 500 (excess),0.3982,0.0967,3.5199,-0.0147
20230701_to_20231001,RBF-DivMom (excess),-0.2729,0.2381,-1.2262,-0.1112
20230701_to_20231001,RBF-Graph (excess),-0.2601,0.3985,-0.568,-0.1696
20230701_to_20231001,S&P 500 (excess),-0.2489,0.1181,-2.3625,-0.0727
20231001_to_20240101,RBF-DivMom (excess),0.2596,0.2226,1.1413,-0.0937
20231001_to_20240101,RBF-Graph (excess),0.2654,0.3038,0.9161,-0.1108
20231001_to_20240101,S&P 500 (excess),0.477,0.1578,2.5522,-0.0506
20240101_to_20240401,RBF-DivMom (excess),0.6838,0.1744,3.0829,-0.0297
20240101_to_20240401,RBF-Graph (excess),4.821,0.4638,4.0688,-0.0933
20240101_to_20240401,S&P 500 (excess),0.4022,0.0776,4.4063,-0.0059
20240401_to_20240701,RBF-DivMom (excess),0.5574,0.2264,2.0657,-0.061
20240401_to_20240701,RBF-Graph (excess),1.6956,0.3874,2.7528,-0.0688
20240401_to_20240701,S&P 500 (excess),0.5561,0.0718,6.2201,-0.0067
20240701_to_20241001,RBF-DivMom (excess),-0.5225,0.2693,-2.5994,-0.0995
20240701_to_20241001,RBF-Graph (excess),-0.7017,0.4747,-2.2977,-0.1578
20240701_to_20241001,S&P 500 (excess),0.0548,0.1799,0.3784,-0.0433
20241001_to_20250101,RBF-DivMom (excess),0.3152,0.2693,1.1388,-0.0643
20241001_to_20250101,RBF-Graph (excess),0.0707,0.3658,0.3462,-0.086
20241001_to_20250101,S&P 500 (excess),0.1272,0.1361,0.9426,-0.0278
20250101_to_20250401,RBF-DivMom (excess),-0.5814,0.2501,-3.3336,-0.2186
20250101_to_20250401,RBF-Graph (excess),-0.329,0.3328,-1.0343,-0.227
20250101_to_20250401,S&P 500 (excess),-0.2667,0.1257,-2.4023,-0.0919
20250401_to_20250701,RBF-DivMom (excess),0.3756,0.1248,2.6196,-0.0353
20250401_to_20250701,RBF-Graph (excess),2.8566,0.2247,6.1845,-0.0195
20250401_to_20250701,S&P 500 (excess),1.1589,0.1809,4.3654,-0.0269
20250701_to_20250829,RBF-DivMom (excess),0.1219,0.0702,1.6692,-0.0184
20250701_to_20250829,RBF-Graph (excess),0.1529,0.1474,1.0275,-0.0287
20250701_to_20250829,S&P 500 (excess),0.2714,0.1165,2.1147,-0.0244
